hen_bin,ct_hev,Nrx_hev,Nml_hev
1,21,68833.52333,7372070.348
1,22,37119.319,3975479.065
1,23,20017.04659,2143825.69
1,24,10794.4371,1156084.213
1,25,5821.032178,623432.5462
1,26,3139.062769,336193.6226
1,27,1692.777976,181296.5212
1,28,912.8512193,97766.36559
1,29,492.2661804,52721.70793
1,30,265.4605562,28430.82557
1,31,143.1528504,15331.67028
1,32,77.19692476,8267.790642
1,33,41.62938548,4458.507185
1,34,22.44915508,2404.304509
1,35,12.10598134,1296.550601
1,36,6.528298442,699.1807631
1,37,3.520464749,377.0417746
1,38,1.898453657,203.3243866
1,39,1.023764345,109.6451613
1,40,0.552077439,59.12749375
